"DATE","TIME PERIOD","Rate"
"1999-01-01","01 Jan 1999","4.5000000"
"1999-01-04","04 Jan 1999","3.2500000"
"1999-01-22","22 Jan 1999","4.5000000"
"1999-04-09","09 Apr 1999","3.5000000"
"1999-11-05","05 Nov 1999","4.0000000"
"2000-02-04","04 Feb 2000","4.2500000"
"2000-03-17","17 Mar 2000","4.5000000"
"2000-04-28","28 Apr 2000","4.7500000"
"2000-06-09","09 Jun 2000","5.2500000"
"2000-06-28","28 Jun 2000","5.2500000"
"2000-09-01","01 Sep 2000","5.5000000"
"2000-10-06","06 Oct 2000","5.7500000"
"2001-05-11","11 May 2001","5.5000000"
"2001-08-31","31 Aug 2001","5.2500000"
"2001-09-18","18 Sep 2001","4.7500000"
"2001-11-09","09 Nov 2001","4.2500000"
"2002-12-06","06 Dec 2002","3.7500000"
"2003-03-07","07 Mar 2003","3.5000000"
"2003-06-06","06 Jun 2003","3.0000000"
"2005-12-06","06 Dec 2005","3.2500000"
"2006-03-08","08 Mar 2006","3.5000000"
"2006-06-15","15 Jun 2006","3.7500000"
"2006-08-09","09 Aug 2006","4.0000000"
"2006-10-11","11 Oct 2006","4.2500000"
"2006-12-13","13 Dec 2006","4.5000000"
"2007-03-14","14 Mar 2007","4.7500000"
"2007-06-13","13 Jun 2007","5.0000000"
"2008-07-09","09 Jul 2008","5.2500000"
"2008-10-08","08 Oct 2008","4.7500000"
"2008-10-09","09 Oct 2008","4.2500000"
"2008-10-15","15 Oct 2008","4.2500000"
"2008-11-12","12 Nov 2008","3.7500000"
"2008-12-10","10 Dec 2008","3.0000000"
"2009-01-21","21 Jan 2009","3.0000000"
"2009-03-11","11 Mar 2009","2.5000000"
"2009-04-08","08 Apr 2009","2.2500000"
"2009-05-13","13 May 2009","1.7500000"
"2011-04-13","13 Apr 2011","2.0000000"
"2011-07-13","13 Jul 2011","2.2500000"
"2011-11-09","09 Nov 2011","2.0000000"
"2011-12-14","14 Dec 2011","1.7500000"
"2012-07-11","11 Jul 2012","1.5000000"
"2013-05-08","08 May 2013","1.0000000"
"2013-11-13","13 Nov 2013","0.7500000"
"2014-06-11","11 Jun 2014","0.4000000"
"2014-09-10","10 Sep 2014","0.3000000"
"2015-12-09","09 Dec 2015","0.3000000"
"2016-03-16","16 Mar 2016","0.2500000"
"2019-09-18","18 Sep 2019","0.2500000"
"2022-07-27","27 Jul 2022","0.7500000"
"2022-09-14","14 Sep 2022","1.5000000"
"2022-11-02","02 Nov 2022","2.2500000"
"2022-12-21","21 Dec 2022","2.7500000"
"2023-02-08","08 Feb 2023","3.2500000"
"2023-03-22","22 Mar 2023","3.7500000"
"2023-05-10","10 May 2023","4.0000000"
"2023-06-21","21 Jun 2023","4.2500000"
"2023-08-02","02 Aug 2023","4.5000000"
"2023-09-20","20 Sep 2023","4.7500000"
"2024-06-12","12 Jun 2024","4.5000000"
"2024-09-18","18 Sep 2024","3.9000000"
"2024-10-23","23 Oct 2024","3.6500000"
"2024-12-18","18 Dec 2024","3.4000000"
"2025-02-05","05 Feb 2025","3.1500000"
"2025-03-12","12 Mar 2025","2.9000000"
"2025-04-23","23 Apr 2025","2.6500000"
"2025-06-11","11 Jun 2025","2.4000000"
"2026-06-17","17 Jun 2026","2.6500000"
