DATAFLOW,LAST UPDATE,FREQ,INDICATOR,TRN,AGG,UNIT,REF,GEO,TIME_PERIOD,OBS_VALUE,vide
ECFIN:FDMS_OVGDP(1.0),03/06/26 10:02:29,Annual,Potential gross domestic product at 2015 market prices,Annual percentage changes (and moving geometric mean for time periods),Standard aggregations (data converted to a common currency and summed),"Original units (e.g. national currency, persons, etc.)",Comparison is not available or not meaningful,Euro Area,2002,1.97781025936365,
ECFIN:FDMS_OVGDP(1.0),03/06/26 10:02:29,Annual,Potential gross domestic product at 2015 market prices,Annual percentage changes (and moving geometric mean for time periods),Standard aggregations (data converted to a common currency and summed),"Original units (e.g. national currency, persons, etc.)",Comparison is not available or not meaningful,Euro Area,2003,1.92409340519826,
ECFIN:FDMS_OVGDP(1.0),03/06/26 10:02:29,Annual,Potential gross domestic product at 2015 market prices,Annual percentage changes (and moving geometric mean for time periods),Standard aggregations (data converted to a common currency and summed),"Original units (e.g. national currency, persons, etc.)",Comparison is not available or not meaningful,Euro Area,2004,1.91453083529942,
ECFIN:FDMS_OVGDP(1.0),03/06/26 10:02:29,Annual,Potential gross domestic product at 2015 market prices,Annual percentage changes (and moving geometric mean for time periods),Standard aggregations (data converted to a common currency and summed),"Original units (e.g. national currency, persons, etc.)",Comparison is not available or not meaningful,Euro Area,2005,1.80258927650958,
ECFIN:FDMS_OVGDP(1.0),03/06/26 10:02:29,Annual,Potential gross domestic product at 2015 market prices,Annual percentage changes (and moving geometric mean for time periods),Standard aggregations (data converted to a common currency and summed),"Original units (e.g. national currency, persons, etc.)",Comparison is not available or not meaningful,Euro Area,2006,1.85824498396039,
ECFIN:FDMS_OVGDP(1.0),03/06/26 10:02:29,Annual,Potential gross domestic product at 2015 market prices,Annual percentage changes (and moving geometric mean for time periods),Standard aggregations (data converted to a common currency and summed),"Original units (e.g. national currency, persons, etc.)",Comparison is not available or not meaningful,Euro Area,2007,1.87198620098812,
ECFIN:FDMS_OVGDP(1.0),03/06/26 10:02:29,Annual,Potential gross domestic product at 2015 market prices,Annual percentage changes (and moving geometric mean for time periods),Standard aggregations (data converted to a common currency and summed),"Original units (e.g. national currency, persons, etc.)",Comparison is not available or not meaningful,Euro Area,2008,1.51663185566846,
ECFIN:FDMS_OVGDP(1.0),03/06/26 10:02:29,Annual,Potential gross domestic product at 2015 market prices,Annual percentage changes (and moving geometric mean for time periods),Standard aggregations (data converted to a common currency and summed),"Original units (e.g. national currency, persons, etc.)",Comparison is not available or not meaningful,Euro Area,2009,0.760739821285394,
ECFIN:FDMS_OVGDP(1.0),03/06/26 10:02:29,Annual,Potential gross domestic product at 2015 market prices,Annual percentage changes (and moving geometric mean for time periods),Standard aggregations (data converted to a common currency and summed),"Original units (e.g. national currency, persons, etc.)",Comparison is not available or not meaningful,Euro Area,2010,0.647380535500686,
ECFIN:FDMS_OVGDP(1.0),03/06/26 10:02:29,Annual,Potential gross domestic product at 2015 market prices,Annual percentage changes (and moving geometric mean for time periods),Standard aggregations (data converted to a common currency and summed),"Original units (e.g. national currency, persons, etc.)",Comparison is not available or not meaningful,Euro Area,2011,0.738095448790044,
ECFIN:FDMS_OVGDP(1.0),03/06/26 10:02:29,Annual,Potential gross domestic product at 2015 market prices,Annual percentage changes (and moving geometric mean for time periods),Standard aggregations (data converted to a common currency and summed),"Original units (e.g. national currency, persons, etc.)",Comparison is not available or not meaningful,Euro Area,2012,0.597472092811802,
